City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,Year,Month,Season,PM2.5_SI,PM10_SI,NO2_SI,SO2_SI,CO_SI,O3_SI,HRI,HRI_Category
Ahmedabad,2015-03-21,111.89,107.96,22.25,43.29,64.53,,22.25,66.44,50.57,18.03,56.86,8.86,570.0,Severe,2015,3,Spring,472.9666666666667,139.9111111111111,86.58,83.05000000000001,0.278125,25.285000000000004,221.68,Very Unhealthy
Ahmedabad,2015-03-22,108.59,107.96,25.38,39.34,63.01,,25.38,75.8,46.68,15.78,48.41,7.07,589.0,Severe,2015,3,Spring,461.9666666666667,139.9111111111111,78.68,94.75,0.31725,23.34,217.23,Very Unhealthy
Ahmedabad,2015-03-23,130.76,107.96,45.61,41.03,85.76,,45.61,65.77,41.58,24.12,85.31,12.56,818.0,Severe,2015,3,Spring,500.0,139.9111111111111,82.06,82.2125,0.570125,20.79,229.72,Very Unhealthy
Ahmedabad,2015-03-24,143.55,107.96,27.3,31.15,57.16,,27.3,50.98,35.38,18.61,72.78,10.15,737.0,Severe,2015,3,Spring,500.0,139.9111111111111,62.3,63.724999999999994,0.34125,17.69,223.6,Very Unhealthy
Ahmedabad,2015-03-27,147.38,107.96,6.4,35.82,40.22,,6.4,46.89,17.94,14.23,41.88,5.7,437.0,Severe,2015,3,Spring,500.0,139.9111111111111,71.64,58.6125,0.08,8.97,224.07,Very Unhealthy
Ahmedabad,2015-03-30,133.37,107.96,3.88,17.99,21.02,,3.88,57.34,39.66,5.76,11.74,1.04,339.0,Very Poor,2015,3,Spring,500.0,139.9111111111111,35.98,71.675,0.048499999999999995,19.83,219.33,Very Unhealthy
Ahmedabad,2015-03-31,133.3,107.96,6.52,20.0,26.18,,6.52,51.58,59.03,9.94,21.13,2.31,339.0,Very Poor,2015,3,Spring,500.0,139.9111111111111,40.0,64.475,0.0815,29.515,220.39,Very Unhealthy
Ahmedabad,2015-04-01,96.04,107.96,3.8,20.07,23.46,,3.8,62.42,46.61,7.54,13.44,1.65,324.0,Very Poor,2015,4,Spring,420.1333333333333,139.9111111111111,40.14,78.025,0.0475,23.305,193.19,Unhealthy
Ahmedabad,2015-04-02,77.69,107.96,5.24,18.87,23.06,,5.24,100.48,27.14,9.49,11.77,1.6,222.0,Poor,2015,4,Spring,358.96666666666664,139.9111111111111,37.74,151.2,0.0655,13.570000000000002,177.65,Unhealthy
Ahmedabad,2015-04-03,53.07,107.96,4.17,13.82,17.45,,4.17,40.36,21.76,4.47,6.94,0.42,169.0,Moderate,2015,4,Spring,253.79999999999998,139.9111111111111,27.639999999999997,50.449999999999996,0.052125000000000005,10.88,128.48,Unhealthy
Ahmedabad,2015-04-04,63.11,107.96,5.63,15.5,18.49,,5.63,38.21,4.72,5.2,8.17,0.73,220.0,Poor,2015,4,Spring,310.3666666666667,139.9111111111111,31.0,47.7625,0.070375,2.36,147.83,Unhealthy
Ahmedabad,2015-04-06,120.96,107.96,4.23,20.86,25.02,,4.23,35.54,35.66,6.05,15.85,1.68,303.0,Very Poor,2015,4,Spring,500.0,139.9111111111111,41.72,44.425,0.052875000000000005,17.83,217.55,Very Unhealthy
Ahmedabad,2015-04-07,138.63,107.96,5.65,25.47,30.67,,5.65,87.43,29.77,11.25,24.67,3.12,314.0,Very Poor,2015,4,Spring,500.0,139.9111111111111,50.94,118.57500000000002,0.07062500000000001,14.885000000000002,226.52,Very Unhealthy
Ahmedabad,2015-04-08,144.36,107.96,15.82,30.69,46.1,,15.82,66.39,27.34,17.22,49.56,7.71,378.0,Very Poor,2015,4,Spring,500.0,139.9111111111111,61.38,82.98750000000001,0.19775,13.669999999999998,224.93,Very Unhealthy
Ahmedabad,2015-04-09,85.03,107.96,3.3,26.7,27.41,,3.3,59.16,35.89,7.58,29.19,4.08,415.0,Severe,2015,4,Spring,383.43333333333334,139.9111111111111,53.400000000000006,73.94999999999999,0.04125,17.945,182.06,Unhealthy
Ahmedabad,2015-04-10,134.6,107.96,5.9,26.27,28.7,,5.9,34.53,7.0,0.0,0.0,0.0,384.5,,2015,4,Spring,500.0,139.9111111111111,52.54,43.1625,0.07375000000000001,3.5000000000000004,218.16,Very Unhealthy
Ahmedabad,2015-04-11,61.06,107.96,3.52,14.03,17.59,,3.52,8.08,19.54,0.0,0.0,0.01,126.0,Moderate,2015,4,Spring,303.53333333333336,139.9111111111111,28.059999999999995,10.100000000000001,0.044000000000000004,9.77,141.82,Unhealthy
Ahmedabad,2015-04-12,39.42,107.96,5.28,19.56,24.66,,5.28,17.66,31.3,0.0,0.0,0.0,175.0,Moderate,2015,4,Spring,162.8,139.9111111111111,39.12,22.075,0.066,15.65,96.56,Moderate
Ahmedabad,2015-04-13,111.86,107.96,3.89,22.51,25.17,,3.89,15.84,31.23,0.0,0.0,0.0,226.0,Poor,2015,4,Spring,472.8666666666667,139.9111111111111,45.02,19.8,0.048625,15.615000000000002,206.03,Very Unhealthy
Ahmedabad,2015-04-14,58.37,107.96,5.74,21.71,27.69,,5.74,25.9,43.92,2.15,10.46,5.4,244.0,Poor,2015,4,Spring,289.1333333333333,139.9111111111111,43.42,32.375,0.07175000000000001,21.96,143.3,Unhealthy
Ahmedabad,2015-04-15,95.37,107.96,18.01,26.23,44.34,,18.01,13.59,41.64,1.21,3.28,20.78,315.0,Very Poor,2015,4,Spring,417.90000000000003,139.9111111111111,52.459999999999994,16.9875,0.22512500000000002,20.82,188.53,Unhealthy
Ahmedabad,2015-04-16,141.3,107.96,30.8,36.88,66.53,,30.8,41.06,37.66,0.66,0.01,28.13,678.0,Severe,2015,4,Spring,500.0,139.9111111111111,73.76,51.324999999999996,0.385,18.83,224.77,Very Unhealthy
Ahmedabad,2015-04-17,106.68,107.96,19.91,46.38,54.77,,19.91,31.56,48.49,1.67,0.0,15.95,774.0,Severe,2015,4,Spring,455.6,139.9111111111111,92.76000000000002,39.449999999999996,0.248875,24.245,212.38,Very Unhealthy
Ahmedabad,2015-04-18,109.48,107.96,4.3,20.27,22.86,,4.3,46.6,31.34,0.05,0.0,6.19,285.0,Poor,2015,4,Spring,464.93333333333334,139.9111111111111,40.54,58.25,0.05375,15.67,206.21,Very Unhealthy
Ahmedabad,2015-04-19,126.04,107.96,6.99,20.18,26.78,,6.99,79.56,28.71,0.2,0.0,6.4,321.0,Very Poor,2015,4,Spring,500.0,139.9111111111111,40.36,99.45,0.08737500000000001,14.355,222.44,Very Unhealthy
Ahmedabad,2015-04-20,71.22,107.96,16.73,21.32,37.58,,16.73,50.09,28.39,1.38,23.54,6.09,358.0,Very Poor,2015,4,Spring,337.40000000000003,139.9111111111111,42.64,62.612500000000004,0.20912500000000003,14.194999999999999,162.29,Unhealthy
Ahmedabad,2015-04-21,97.87,107.96,6.3,17.96,23.45,,6.3,13.85,34.16,0.21,4.91,2.95,357.0,Very Poor,2015,4,Spring,426.23333333333335,139.9111111111111,35.92,17.3125,0.07875,17.08,187.79,Unhealthy
Ahmedabad,2015-04-22,63.38,107.96,3.44,13.28,15.44,,3.44,24.79,43.62,0.0,0.0,1.23,189.0,Moderate,2015,4,Spring,311.26666666666665,139.9111111111111,26.56,30.9875,0.043,21.81,147.52,Unhealthy
Ahmedabad,2015-04-23,75.29,107.96,3.35,14.29,17.97,,3.35,76.05,60.71,0.0,0.01,2.27,384.5,,2015,4,Spring,350.9666666666667,139.9111111111111,28.58,95.0625,0.041875,30.354999999999997,169.08,Unhealthy
Ahmedabad,2015-04-24,80.9,107.96,5.7,18.62,24.23,,5.7,65.44,22.8,0.05,0.09,3.46,214.0,Poor,2015,4,Spring,369.6666666666667,139.9111111111111,37.24,81.8,0.07125000000000001,11.4,174.14,Unhealthy
